epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,547.668,0.49818,0.32372,0.80228,0.92357,0.79197,0.85662,0.62758,0.46712,0.3656,0.77345,0.000509438,0.000509438,0.000509438
67,555.362,0.52065,0.3365,0.81243,0.93285,0.7882,0.8603,0.62565,0.46279,0.37,0.77026,0.000495291,0.000495291,0.000495291
68,563.915,0.4924,0.31785,0.81298,0.88713,0.79306,0.85134,0.64049,0.46503,0.36604,0.77315,0.000481144,0.000481144,0.000481144
69,572.642,0.4958,0.32624,0.80644,0.93821,0.78747,0.86932,0.64807,0.45419,0.35251,0.77289,0.000466997,0.000466997,0.000466997
70,580.326,0.47742,0.31349,0.80638,0.93792,0.77022,0.84498,0.62287,0.44566,0.35637,0.7648,0.00045285,0.00045285,0.00045285
71,589.043,0.50467,0.31836,0.802,0.91531,0.80013,0.87007,0.63836,0.44694,0.35109,0.76523,0.000438703,0.000438703,0.000438703
72,597.777,0.49967,0.31946,0.81582,0.88957,0.81887,0.86657,0.63593,0.45888,0.36042,0.77302,0.000424556,0.000424556,0.000424556
73,605.36,0.48643,0.31141,0.80552,0.92192,0.80013,0.87188,0.64129,0.45701,0.35545,0.7704,0.000410409,0.000410409,0.000410409
74,613.894,0.50129,0.31669,0.80288,0.93407,0.81295,0.88735,0.64106,0.46913,0.36508,0.77204,0.000396262,0.000396262,0.000396262
75,622.697,0.47942,0.30304,0.80663,0.89347,0.82578,0.87228,0.64446,0.4516,0.34163,0.76904,0.000382115,0.000382115,0.000382115
76,630.238,0.46936,0.3131,0.80433,0.89437,0.81723,0.87618,0.64467,0.45334,0.35069,0.76886,0.000367967,0.000367967,0.000367967
77,638.951,0.48516,0.32527,0.80376,0.92968,0.80013,0.87186,0.63732,0.45286,0.34672,0.76732,0.00035382,0.00035382,0.00035382
78,646.988,0.47526,0.30927,0.80608,0.94284,0.78346,0.84924,0.6322,0.47298,0.35609,0.77578,0.000339673,0.000339673,0.000339673
79,655.2,0.46652,0.29607,0.80724,0.94203,0.79159,0.87469,0.64939,0.45092,0.34408,0.77423,0.000325526,0.000325526,0.000325526
80,663.948,0.48293,0.30826,0.79974,0.9276,0.80013,0.84976,0.63579,0.46024,0.34689,0.77296,0.000311379,0.000311379,0.000311379
81,672.021,0.48852,0.31266,0.81225,0.89349,0.84714,0.88271,0.63607,0.45904,0.35172,0.76938,0.000297232,0.000297232,0.000297232
82,680.361,0.48053,0.30279,0.80969,0.91033,0.80868,0.865,0.62815,0.44336,0.35005,0.76587,0.000283085,0.000283085,0.000283085
83,689.003,0.46275,0.29652,0.80975,0.93716,0.80441,0.8738,0.64439,0.45003,0.34624,0.76897,0.000268938,0.000268938,0.000268938
84,696.942,0.46784,0.29703,0.80945,0.89059,0.84714,0.88257,0.65082,0.43396,0.34147,0.76661,0.000254791,0.000254791,0.000254791
85,705.45,0.454,0.2921,0.79825,0.91239,0.83252,0.86781,0.65184,0.43364,0.33203,0.76691,0.000240644,0.000240644,0.000240644
86,714.29,0.44634,0.28682,0.79845,0.91665,0.82578,0.87696,0.64908,0.44652,0.34108,0.76707,0.000226497,0.000226497,0.000226497
87,721.989,0.46599,0.29571,0.79766,0.8961,0.8316,0.87254,0.65598,0.43283,0.34096,0.76508,0.000212349,0.000212349,0.000212349
88,730.796,0.44993,0.29222,0.80433,0.89875,0.83432,0.87337,0.65152,0.4238,0.33027,0.76376,0.000198202,0.000198202,0.000198202
89,739.479,0.44871,0.29391,0.79204,0.94638,0.81049,0.88152,0.66379,0.4256,0.33141,0.76626,0.000184055,0.000184055,0.000184055
90,747.078,0.45722,0.29745,0.81026,0.95355,0.79586,0.87729,0.65638,0.42862,0.33697,0.7656,0.000169908,0.000169908,0.000169908
91,757.123,0.43805,0.28751,0.79338,0.92407,0.82578,0.86906,0.64005,0.44576,0.33923,0.77488,0.000155761,0.000155761,0.000155761
92,765.956,0.44884,0.28292,0.80606,0.90917,0.81723,0.87039,0.63976,0.44354,0.3399,0.77375,0.000141614,0.000141614,0.000141614
93,773.728,0.44081,0.28719,0.80302,0.92412,0.82301,0.87414,0.64204,0.42953,0.34163,0.77002,0.000127467,0.000127467,0.000127467
94,782.345,0.43839,0.28054,0.80008,0.8867,0.85142,0.88323,0.63715,0.43363,0.33382,0.76827,0.00011332,0.00011332,0.00011332
95,790.918,0.44073,0.2796,0.80169,0.89128,0.84412,0.87618,0.64622,0.426,0.33672,0.76697,9.91726e-05,9.91726e-05,9.91726e-05
96,798.432,0.42145,0.26701,0.79984,0.89685,0.80441,0.87261,0.63962,0.42408,0.33765,0.76668,8.50255e-05,8.50255e-05,8.50255e-05
97,807.21,0.42486,0.26815,0.80241,0.88271,0.82578,0.87276,0.64654,0.42378,0.33461,0.76687,7.08784e-05,7.08784e-05,7.08784e-05
98,815.74,0.42977,0.27715,0.79161,0.93245,0.81671,0.88319,0.64227,0.42706,0.33818,0.7679,5.67313e-05,5.67313e-05,5.67313e-05
99,823.328,0.4272,0.27425,0.81151,0.90792,0.8386,0.87809,0.64438,0.43232,0.3354,0.76973,4.25842e-05,4.25842e-05,4.25842e-05
100,831.878,0.42256,0.26839,0.78275,0.91608,0.82879,0.87891,0.64409,0.43393,0.32935,0.76809,2.84371e-05,2.84371e-05,2.84371e-05
